"","ORI","year","department_name","total_pop","homs_sum","rape_sum","rob_sum","agg_ass_sum","violent_crime","months_reported","violent_per_100k","homs_per_100k","rape_per_100k","rob_per_100k","agg_ass_per_100k","State","US_State"
"95","TXHPD00",1990,"Houston",1630553,568,1335,12921,7813,22637,12,1388.30200551592,34.8348075775519,81.874063584563,792.430543502726,479.162590851079,"TXHPD","Texas"
"96","TXSPD00",1990,"San Antonio",935933,208,430,2864,2228,5730,12,612.223310856653,22.2238130293515,45.9434596279862,306.004810173378,238.051228025938,"TXSPD","Texas"
"97","TX22001",1991,"Arlington, Texas",267306,26,166,700,1216,2108,12,788.609309181238,9.72668028401906,62.1011125825833,261.872161492821,454.909354821815,"TX","Texas"
"98","TX22701",1991,"Austin, Texas",475558,49,276,1555,1088,2968,12,624.108941496095,10.3036853548884,58.0370848561059,326.984300547988,228.783870737113,"TX","Texas"
"99","TX07102",1991,"El Paso, Texas",526339,49,265,1484,3818,5616,12,1066.9929456111,9.30958944710538,50.3477796629169,281.947566112334,725.388010388742,"TX","Texas"
"100","TX22012",1991,"Fort Worth, Texas",457171,195,442,3426,4851,8914,12,1949.81746436235,42.6536241362641,96.6815480421986,749.391365594056,1061.09092658983,"TX","Texas"
"101","TXHPD00",1991,"Houston",1665756,608,1213,13883,10947,26651,12,1599.93420404909,36.4999435691662,72.8197887325635,833.435389096602,657.17908265076,"TXHPD","Texas"
"102","TXSPD00",1991,"San Antonio",955905,208,698,3778,2889,7573,12,792.233537851565,21.7594844675988,73.0198084537689,395.227559223981,302.226685706216,"TXSPD","Texas"
"103","TX22001",1992,"Arlington, Texas",272037,16,146,725,1169,2056,12,755.779544694288,5.88155287699835,53.6691700026099,266.507864738988,429.720957075692,"TX","Texas"
"104","TX22701",1992,"Austin, Texas",483975,37,294,1450,1069,2850,12,588.873392220672,7.64502298672452,60.7469394080273,299.602252182447,220.879177643473,"TX","Texas"
"105","TX07102",1992,"El Paso, Texas",535655,44,272,1610,3900,5826,12,1087.64036553379,8.21424237615629,50.7789528707844,300.566596036628,728.080574250217,"TX","Texas"
"106","TX22012",1992,"Fort Worth, Texas",465262,153,525,3488,5226,9392,12,2018.64755772017,32.8846972243596,112.839647338489,749.68512365076,1123.23808950656,"TX","Texas"
"107","TXHPD00",1992,"Houston",1695239,465,1169,11130,12073,24837,12,1465.10315064719,27.4297606414199,68.957828365204,656.544593417211,712.17096822336,"TXHPD","Texas"
"108","TXSPD00",1992,"San Antonio",972824,219,616,3485,2811,7131,12,733.020566926803,22.5117801370032,63.3208062301095,358.235405376512,288.952575183178,"TXSPD","Texas"
"109","TX22001",1993,"Arlington, Texas",281336,7,146,710,1396,2259,12,802.954474365172,2.48812807461541,51.8952426991213,252.367276139563,496.203827451872,"TX","Texas"
"110","TX22701",1993,"Austin, Texas",502018,37,271,1555,1148,3011,12,599.779290782402,7.3702536562434,53.9821281308638,309.749849606986,228.677059388309,"TX","Texas"
"111","TX07102",1993,"El Paso, Texas",554515,47,281,1561,4220,6109,12,1101.68345310767,8.47587531446399,50.6749141141358,281.507263103793,761.025400575278,"TX","Texas"
